,Questions,Answers
304,how many families are in the nr superfamily,seven
305,what is a prerequisite to make a molecular docking study feasible,a reliable 3d structure of the target protein
306,what tool can be used to determine the 3d structure of proteins,xray crystallography
307,what are the shortcomings of xray crystallography,timeconsuming and expensive
308,what types of proteins are difficult to crystallize,membrane proteins
309,where were the data collected for this study,kegg 
310,who performed the sampling procedures,veterinarians
311,when were the fecal samples collected,from november 2004 to november 2014
312,what reference genome was used in the study,batcov hku10
313,what is the length of the replicase gene orf1ab,204 kb
314,what type of coronavirus was detected in r affinis and r sinicus species,btcovrhyn2012
315,what is a natural reservoir of coronavirus,bats
316,what is the genome size of the coronavirus,2632 kb
317,what is the structure of the coronavirus,enveloped nonsegmented positivestrand rna viruses
318,what animals do gamma and delta coronavirus mainly infect,birds
319,how many types of coronaviruses are known to cause human disease,six
320,what plays a role in regulating the immune response to a viral infection,nfκb
321,what is the conclusion of the coronavirus longterm surveillance studies,rhinolophus bats seem to harbor a wide diversity of covs
322,what is the cause of feline infectious peritonitis ,fip virus 
323,what is the molecular structure of feline infectious peritonitis virus,enveloped virus with a nonsegmented positive sense singlestranded rna genome
324,how is fecv detected in cats,shedding in their faeces
325,what type of vaccine is used to protect against fipv infection,an attenuated temperaturesensitive strain of type ii fipv
326,why is their controversy surrounding the fipv vaccine,the vaccine contains type 2 strain whereas type 1 viruses are more prevalent in the field
327,for how long was the denatured polyacrylamide gel polymerized,30 minutes
328,how was the binding strength measured,nano isothermal titration calorimeter 
329,what was the focus of this study, the antiinfluenza a virus activity of patchouli alcohol
330,what do neuroaminidase inhibitors target,na glycoproteins of influenza a and b virus
331,what is the function of neuroaminidase in the influenza virus,cleave the αketosidic linkage between terminal sialic acid and an adjacent sugar residue
332,what is tamiflu,na inhibitor
333,what was the test for the level of cytotoxicity used in this study,cc 50
334,what method was used to measure the inhibition of viral replication,mtt method
335,what was the conclusion of this study, patchouli alcohol possesses antiinfluenza a virus activity
336,why have nucleic acid amplification tests been restricted to laboratory settings,time equipment and technical expertise requirements
337,what screening method was evaluated in this study,hiv1 rtlamp assay
338,what was used to measure the performance of the nina heaters,whole blood specimens
339,what percentage of hivinfected people go undetected in the united states,20%
340,what percentage of patients do not return for followup after hiv testing,35 to 50%
341,what statistical tests were used to compare categorical variables,chisquare test and fisher's exact test
342,what was a severe limitation of this study,unable to evaluate the levels of immunomodulators in the serum samples of a control group
343,what followup is needed to confirm the results of the current study,a larger longitudinal study on the etiology and severity of pneumonia
